ship_name,ship_size,arrived_date,arrived_from,arrived_cargo,departed_date,departed_for,departed_cargo
RMS RUHRORT,2503,03/05/2015,Figueira da Foz,none,06/05/2015,Vyborg,clay
PELEUS,3675,04/05/2015,Figueira da Foz,none,05/05/2015,Damietta,clay
SHETLAND TRADER,2386,12/05/2015,Lillebonne,feed,13/05/2015,Plymouth,none
POMMERN,3050,14/05/2015,Newport,none,16/05/2015,Bendorf,clay
JADE,3261,17/05/2015,Schiedam,salt,19/05/2015,Portland,none
FALCON,2225,20/05/2015,Plymouth,none,21/05/2015,Rotterdam,clay
SEA KESTREL,2225,25/05/2015,Port Talbot,powder,27/05/2015,Porthoustock,none
DANIEL K,4247,27/05/2015,Amsterdam,feed,29/05/2015,Poole,none
OLZA,2690,29/05/2015,Boulogne,feed,02/06/2015,Amsterdam,none
FRI SKIEN,3740,31/05/2015,Warrenpoint,none,03/06/2015,Mjoesund,clay
